"","County","Salaries_Wages","Employee_Benefits","Print_Materials","Electronic_format","Audiovisual_Materials","All_Other_Materials","Contracted_Services","Other_Operating_Expenditures","Total_Operating_Expenditures"
"1","Adams",53.9,21.3,5.6,0.6,2.1,0.1,8.5,8,100
"2","Ashland",51.6,19.8,6,0.4,2.4,1.2,3.9,14.7,100
"3","Barron",48.1,16,8.5,0.8,2.9,0.1,4,19.6,100
"4","Bayfield",52.4,12.6,7.1,0.4,2.8,0.4,5.9,18.4,100
"5","Brown",44.6,16.7,6.6,2.1,2.1,0.3,0.6,26.9,100
"6","Buffalo",53.3,13.2,10.3,0.4,2.7,0.1,4,16.2,100
"7","Burnett",44.1,14.7,6.9,0.7,2,0,6,25.5,100
"8","Calumet",48.1,14.6,11,0.3,3.4,0.8,2.3,19.5,100
"9","Chippewa",51.3,19.8,8.4,1,1.9,0.7,3.2,13.7,100
"10","Clark",45,10.4,10.5,0.1,2.5,0.3,6.1,25.2,100
"11","CNTY",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Columbia",50.4,15.9,6.4,1.1,1.9,0.1,8.3,15.9,100
"13","Crawford",47.9,13.1,10.5,0.1,4.9,1.6,6,16,100
"14","Dane",44.8,13.5,4,0.9,1.6,0.4,14.3,20.5,100
"15","Dodge",45.9,13.9,8.5,2.1,5.5,0.5,2.8,20.9,100
"16","Door",55,22.2,8.2,0.4,2,0.7,4.1,7.4,100
"17","Douglas",57.7,20.4,4,0.7,1.4,0,2.7,13.2,100
"18","Dunn",50,16.3,7.1,1.1,1.8,0.1,5.5,18.1,100
"19","Eau Claire",47.8,18.6,6.3,1.8,2.4,0.1,3.5,19.6,100
"20","Florence",32.7,24.2,8.5,0.5,0,1.1,8.2,24.9,100
"21","Fond du Lac",52.3,15.6,7.8,1.3,3.2,0.1,1.7,17.9,100
"22","Forest",44.2,26.8,8.1,0,1.7,0.1,5.1,14,100
"23","Grant",52.8,15.3,8.6,0,2.3,0.2,4.7,16,100
"24","Green",51.4,18.3,7.2,0.7,2.4,0.5,5.4,14.1,100
"25","Green Lake",49,10.7,8.6,1.2,3.6,0.6,6.9,19.4,100
"26","Iowa",54.5,18,7.6,0.8,2.8,0.1,5.2,11,100
"27","Iron",43.3,21.8,13.2,0.3,3.4,1.6,4.6,11.7,100
"28","Jackson",53.2,17.5,7.2,0.2,1.9,0,6.4,13.7,100
"29","Jefferson",53.8,18.8,7,0.4,2.5,0.2,3,14.4,100
"30","Juneau",43.1,18.9,7,0.6,2,0,4.2,24.1,100
"31","Kenosha",51.3,18.4,5.7,1.9,1.5,0.2,0.2,20.8,100
"32","Kewaunee",49.1,16.6,11,0.8,1.5,0.1,7.1,13.8,100
"33","La Crosse",57.7,19.9,4.3,0.9,2,0.1,1.7,13.3,100
"34","Lafayette",47.1,10.2,12.2,0,3.3,0.4,7,19.8,100
"35","Langlade",51,17.8,8.5,1.4,3.1,0.3,4.7,13.4,100
"36","Lincoln",53.4,17.7,7.2,0.2,1.6,0.4,3,16.5,100
"37","Manitowoc",55.4,16.3,8.1,1,1.9,0,1.6,15.8,100
"38","Marathon",56.8,17.4,8,0.8,2.1,0,4.2,10.8,100
"39","Marinette",51.2,16.4,4.8,0.6,3.4,0,5,18.7,100
"40","Marquette",48.1,16.1,7.3,1.1,3.1,0.2,12.7,11.3,100
"41","Menominee",47.2,19.2,3.1,0.4,1.8,4.3,0,24,100
"42","Milwaukee",52.1,19.9,5.6,1.6,1.7,0,1.9,17.1,100
"43","Monroe",51.8,18.3,6.5,0.4,2.2,0.1,2.9,17.8,100
"44","Oconto",53.4,15.7,7.5,0.3,2.6,0.4,5.2,15,100
"45","Oneida",54.5,20.8,7.2,0,1.7,0,3.8,11.9,100
"46","Outagamie",51.3,15.7,7.5,2.7,2.4,0.2,2.5,17.7,100
"47","Ozaukee",50.2,16,7.2,1.3,1.9,0.2,0.6,22.5,100
"48","Pepin",44.3,11.7,15.6,1.5,2.9,0.7,1.4,22,100
"49","Pierce",50,12.1,6.8,1.1,2.3,0.2,3,24.4,100
"50","Polk",48.5,13.6,7.2,1,2.8,0.2,3.8,22.7,100
"51","Portage",60.4,20.2,4.7,1,1.4,0.1,7,5.2,100
"52","Price",46.7,21.3,8.2,0.7,2.1,0.4,2,18.7,100
"53","Racine",54.9,18.7,6,1.3,1.9,0.5,0,16.8,100
"54","Richland",53.8,14.8,6.5,0,1.4,0.2,6.9,16.4,100
"55","Rock",54.3,15.8,5.3,1.3,2.4,0.3,2.7,17.8,100
"56","Rusk",49.2,22,6.1,0.9,2.2,0.1,2.8,16.8,100
"57","Saint Croix",46,12.5,9.1,1.1,2.6,0.3,5,23.3,100
"58","Sauk",51.3,15.2,6.7,1,2.5,0.8,7.6,14.8,100
"59","Sawyer",48.1,13.1,7.6,1.3,1.9,0.4,4.2,23.3,100
"60","Shawano",49.2,15.4,10.1,1,2.1,0.3,6.9,14.9,100
"61","Sheboygan",48.5,15.4,9.7,1.8,2.2,1.1,1.1,20.1,100
"62","St. Croix",48.9,10.6,8.6,1.4,2.6,0.3,4.8,22.8,100
"63","Taylor",42.8,12.2,10.5,0,3,0.2,5.9,25.4,100
"64","Trempealeau",48.9,18.1,8.8,0.5,3,0.7,3.5,16.4,100
"65","Vernon",47.5,18.6,8.8,0.5,2.9,0.3,5.8,15.6,100
"66","Vilas",49.8,12.5,8.2,0.3,3.1,0.1,5.8,20.2,100
"67","Walworth",51.3,16.4,9.5,1.2,3,0.3,1.4,16.8,100
"68","Washburn",57.7,7.4,8.7,0.6,4,0.4,4.8,16.5,100
"69","Washington",50.9,15.4,7.9,0.9,2.4,0.1,2.2,20.3,100
"70","Waukesha",53.2,15.5,8.4,0.9,2.4,0.3,2.4,16.9,100
"71","Waupaca",52.3,15.7,8.8,0.6,2.8,0.1,4.2,15.6,100
"72","Waushara",49.8,9.2,8.1,0.9,4.8,1.3,10.8,15.1,100
"73","Winnebago",53.2,16.8,6.2,1.8,3.3,0.2,6.5,11.9,100
"74","Wood",48.8,16.6,6.7,1.7,1.8,0.1,2.8,21.6,100
"75",NA,91.8,92,92.7,92.9,93.2,93.4,99.5,99.8,100
