"","County","Total_Operating_Expenditures"
"1","Adams",302495.875
"2","Ashland",251777
"3","Barron",297048
"4","Bayfield",127029.85
"5","Brown",3824866.5
"6","Buffalo",102112.375
"7","Burnett",139224.75
"8","Calumet",227355
"9","Chippewa",304369.85
"10","Clark",112031.725
"11","CNTY",0
"12","Columbia",271842.25
"13","Crawford",141114
"14","Dane",1984619.1125
"15","Dodge",234980.288461538
"16","Door",1591228.75
"17","Douglas",1396161
"18","Dunn",324717.875
"19","Eau Claire",969451.45
"20","Florence",140708.75
"21","Fond du Lac",686535.666666667
"22","Forest",91295.5
"23","Grant",168960.791666667
"24","Green",374905.95
"25","Green Lake",187863.75
"26","Iowa",185878.6875
"27","Iron",135613.75
"28","Jackson",170934
"29","Jefferson",527568.5625
"30","Juneau",212844.15
"31","Kenosha",3730401.75
"32","Kewaunee",259360.25
"33","La Crosse",3463781.75
"34","Lafayette",80370.875
"35","Langlade",662491.5
"36","Lincoln",702828.625
"37","Manitowoc",1068036.16666667
"38","Marathon",3725679.5
"39","Marinette",1110970.75
"40","Marquette",65708.0833333333
"41","Menominee",348757.25
"42","Milwaukee",2736788.16666667
"43","Monroe",199202.125
"44","Oconto",145985.291666667
"45","Oneida",567559.5
"46","Outagamie",1032285.5
"47","Ozaukee",768674.55
"48","Pepin",91178.625
"49","Pierce",334660.833333333
"50","Polk",170906.7
"51","Portage",882994.375
"52","Price",280688.5
"53","Racine",1104657.35
"54","Richland",155948.25
"55","Rock",1060421.14285714
"56","Rusk",175942.916666667
"57","Saint Croix",300444.703703704
"58","Sauk",347568.805555556
"59","Sawyer",195720.833333333
"60","Shawano",712408.25
"61","Sheboygan",622274.65625
"62","St. Croix",312694.222222222
"63","Taylor",134962.95
"64","Trempealeau",125162.944444444
"65","Vernon",122055.0625
"66","Vilas",119517.222222222
"67","Walworth",349130.85
"68","Washburn",210148.625
"69","Washington",737679.4
"70","Waukesha",1176538.140625
"71","Waupaca",305151.861111111
"72","Waushara",85895.3125
"73","Winnebago",1496905.3
"74","Wood",640209.791666667
"75",NA,425
